[36mRunning:[0m input.txt
00: seti [123, 0, 3] at [0, 0, 0, 123, 0, 0]
01: bani [3, 456, 3] at [0, 0, 1, 72, 0, 0]
02: eqri [3, 72, 3] at [0, 0, 2, 1, 0, 0]
03: addr [3, 2, 2] at [0, 0, 4, 1, 0, 0]
05: seti [0, 6, 3] at [0, 0, 5, 0, 0, 0]

06: bori [3, 65536, 4] at [0, 0, 6, 0, 65536, 0]
07: seti [2176960, 8, 3] at [0, 0, 7, 2176960, 65536, 0]
08: bani [4, 255, 1] at [0, 0, 8, 2176960, 65536, 0]
09: addr [3, 1, 3] at [0, 0, 9, 2176960, 65536, 0]
10: bani [3, 16777215, 3] at [0, 0, 10, 2176960, 65536, 0]
11: muli [3, 65899, 3] at [0, 0, 11, 143459487040, 65536, 0]
12: bani [3, 16777215, 3] at [0, 0, 12, 14290240, 65536, 0]
13: gtir [256, 4, 1] at [0, 0, 13, 14290240, 65536, 0]
14: addr [1, 2, 2] at [0, 0, 14, 14290240, 65536, 0]
15: addi [2, 1, 2] at [0, 0, 16, 14290240, 65536, 0]
17: seti [0, 9, 1] at [0, 0, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 0, 18, 14290240, 65536, 1]
19: muli [5, 256, 5] at [0, 0, 19, 14290240, 65536, 256]
20: gtrr [5, 4, 5] at [0, 0, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 0, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 0, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 1, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 1, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 1, 18, 14290240, 65536, 2]
19: muli [5, 256, 5] at [0, 1, 19, 14290240, 65536, 512]
20: gtrr [5, 4, 5] at [0, 1, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 1, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 1, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 2, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 2, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 2, 18, 14290240, 65536, 3]
19: muli [5, 256, 5] at [0, 2, 19, 14290240, 65536, 768]
20: gtrr [5, 4, 5] at [0, 2, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 2, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 2, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 3, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 3, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 3, 18, 14290240, 65536, 4]
19: muli [5, 256, 5] at [0, 3, 19, 14290240, 65536, 1024]
20: gtrr [5, 4, 5] at [0, 3, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 3, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 3, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 4, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 4, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 4, 18, 14290240, 65536, 5]
19: muli [5, 256, 5] at [0, 4, 19, 14290240, 65536, 1280]
20: gtrr [5, 4, 5] at [0, 4, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 4, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 4, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 5, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 5, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 5, 18, 14290240, 65536, 6]
19: muli [5, 256, 5] at [0, 5, 19, 14290240, 65536, 1536]
20: gtrr [5, 4, 5] at [0, 5, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 5, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 5, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 6, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 6, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 6, 18, 14290240, 65536, 7]
19: muli [5, 256, 5] at [0, 6, 19, 14290240, 65536, 1792]
20: gtrr [5, 4, 5] at [0, 6, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 6, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 6, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 7, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 7, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 7, 18, 14290240, 65536, 8]
19: muli [5, 256, 5] at [0, 7, 19, 14290240, 65536, 2048]
20: gtrr [5, 4, 5] at [0, 7, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 7, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 7, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 8, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 8, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 8, 18, 14290240, 65536, 9]
19: muli [5, 256, 5] at [0, 8, 19, 14290240, 65536, 2304]
20: gtrr [5, 4, 5] at [0, 8, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 8, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 8, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 9, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 9, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 9, 18, 14290240, 65536, 10]
19: muli [5, 256, 5] at [0, 9, 19, 14290240, 65536, 2560]
20: gtrr [5, 4, 5] at [0, 9, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 9, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 9, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 10, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 10, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 10, 18, 14290240, 65536, 11]
19: muli [5, 256, 5] at [0, 10, 19, 14290240, 65536, 2816]
20: gtrr [5, 4, 5] at [0, 10, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 10, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 10, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 11, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 11, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 11, 18, 14290240, 65536, 12]
19: muli [5, 256, 5] at [0, 11, 19, 14290240, 65536, 3072]
20: gtrr [5, 4, 5] at [0, 11, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 11, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 11, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 12, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 12, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 12, 18, 14290240, 65536, 13]
19: muli [5, 256, 5] at [0, 12, 19, 14290240, 65536, 3328]
20: gtrr [5, 4, 5] at [0, 12, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 12, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 12, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 13, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 13, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 13, 18, 14290240, 65536, 14]
19: muli [5, 256, 5] at [0, 13, 19, 14290240, 65536, 3584]
20: gtrr [5, 4, 5] at [0, 13, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 13, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 13, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 14, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 14, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 14, 18, 14290240, 65536, 15]
19: muli [5, 256, 5] at [0, 14, 19, 14290240, 65536, 3840]
20: gtrr [5, 4, 5] at [0, 14, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 14, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 14, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 15, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 15, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 15, 18, 14290240, 65536, 16]
19: muli [5, 256, 5] at [0, 15, 19, 14290240, 65536, 4096]
20: gtrr [5, 4, 5] at [0, 15, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 15, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 15, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 16, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 16, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 16, 18, 14290240, 65536, 17]
19: muli [5, 256, 5] at [0, 16, 19, 14290240, 65536, 4352]
20: gtrr [5, 4, 5] at [0, 16, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 16, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 16, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 17, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 17, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 17, 18, 14290240, 65536, 18]
19: muli [5, 256, 5] at [0, 17, 19, 14290240, 65536, 4608]
20: gtrr [5, 4, 5] at [0, 17, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 17, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 17, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 18, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 18, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 18, 18, 14290240, 65536, 19]
19: muli [5, 256, 5] at [0, 18, 19, 14290240, 65536, 4864]
20: gtrr [5, 4, 5] at [0, 18, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 18, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 18, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 19, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 19, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 19, 18, 14290240, 65536, 20]
19: muli [5, 256, 5] at [0, 19, 19, 14290240, 65536, 5120]
20: gtrr [5, 4, 5] at [0, 19, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 19, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 19, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 20, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 20, 17, 14290240, 65536, 0]
18: addi [1, 1, 5] at [0, 20, 18, 14290240, 65536, 21]
19: muli [5, 256, 5] at [0, 20, 19, 14290240, 65536, 5376]
20: gtrr [5, 4, 5] at [0, 20, 20, 14290240, 65536, 0]
21: addr [5, 2, 2] at [0, 20, 21, 14290240, 65536, 0]
22: addi [2, 1, 2] at [0, 20, 23, 14290240, 65536, 0]
24: addi [1, 1, 1] at [0, 21, 24, 14290240, 65536, 0]
25: seti [17, 2, 2] at [0, 21, 17, 14290240, 65536, 0]
